"cl0_-00","cl1_-00","cl0_00+","cl1_00+","cl0_+00","cl1_+00","cl0_00-","cl1_00-","cl0_+01","cl1_+01","cl0_10+","cl1_10+","cl0_-01","cl1_-01","cl0_10-","cl1_10-","cl0_01+","cl1_01+","cl0_+10","cl1_+10","cl0_-10","cl1_-10","cl0_01-","cl1_01-","cl0_+11","cl1_+11","cl0_-11","cl1_-11","cl0_11+","cl1_11+","cl0_11-","cl1_11-","cl0_0+-","cl1_0+-","cl0_0-+","cl1_0-+","cl1_+-0","cl1_+-1","cl1_-+0","cl1_-+1","cl0_1+-","cl1_1+-","cl0_1-+","cl1_1-+","203p0","203p1","203d0","203d1","148d00","148d01","148p00","148p01","148d10","148d11","148p10","148p11","h+-00_","h-+00_","h+-01_","h-+01_","h+-10_","h-+10_","h+-11_","h-+11_","u1__0_","d1__0_","u0__0_","d0__0_","u1__1_"
4.623870002347978e+10,2.331628907295520e+10,6.102206714193901e+06,1.777947359046730e+05,1.238275539865611e+07,6.262456633174289e+05,1.894188341768277e+10,2.637624601678996e+10,6.644000884667103e+06,4.082097764196896e+07,4.266941561265317e+06,4.184465126990606e+06,4.674881480325961e+10,9.179180284062805e+09,3.482509639410080e+10,5.834578408951810e+10,5.819522589440678e+05,5.683056050844361e+06,7.337141243477687e+06,1.916613805249367e+07,5.282473655156112e+10,5.092853228907487e+09,8.268634347061452e+10,2.162179750580259e+10,3.121153020265326e+06,1.310681137720808e+07,5.103818866438007e+10,1.236873577389522e+10,7.686581288555245e+06,2.924456833535622e+06,1.002442370407021e+11,1.290727757803358e+11,4.807050661725507e+10,1.918414991709783e+09,5.542964847440314e+08,1.330638127199549e+09,5.896348755570240e+07,8.399485534581517e+07,1.987090625476491e+07,9.483247972060870e+08,1.575351184971082e+10,1.381876947953915e+10,1.986997431016751e+08,5.461524442257743e+07,9.695472917638646e+08,3.813708161197346e+08,9.410318168727119e+07,9.643062841342337e+07,1.772836673049430e+07,2.835443003119889e+04,3.280949972199800e+07,9.014735259083351e+06,5.265211734401307e+04,7.003768027103115e+04,1.282886266931815e+06,2.404664401934374e+08,3.607809794433271e+06,8.985788845861431e+02,1.882482411502517e+10,1.754276513082517e+04,1.056710087799977e+07,5.448708689137718e+04,5.108166273441016e+10,6.910178226425434e+03,1.624665978919950e+06,3.753231332054394e+10,4.274333394153379e+06,1.027869224210495e+13,1.201357469528057e+12
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
5.200000000000000e+10,2.600000000000000e+10,8.800000000000000e+06,1.230000000000000e+07,2.790000000000000e+07,5.960000000000000e+07,3.700000000000000e+10,7.200000000000000e+10,1.740000000000000e+07,4.150000000000000e+07,6.200000000000000e+06,8.800000000000000e+06,5.400000000000000e+10,2.700000000000000e+10,3.900000000000000e+10,7.800000000000000e+10,8.300000000000000e+06,9.100000000000000e+06,1.110000000000000e+07,2.110000000000000e+07,5.600000000000000e+10,3.500000000000000e+10,9.800000000000000e+10,1.900000000000000e+11,1.790000000000000e+07,2.100000000000000e+07,5.800000000000000e+10,2.900000000000000e+10,7.700000000000000e+06,8.000000000000000e+06,1.100000000000000e+11,2.000000000000000e+11,6.800000000000000e+10,1.000000000000000e+11,1.000000000000000e+09,2.200000000000000e+09,7.300000000000000e+07,8.700000000000000e+07,4.100000000000000e+07,9.500000000000000e+08,3.600000000000000e+10,3.100000000000000e+10,2.400000000000000e+08,1.200000000000000e+08,1.000000000000000e+09,1.000000000000000e+09,1.000000000000000e+08,1.000000000000000e+08,1.100000000000000e+08,1.800000000000000e+05,4.300000000000000e+07,3.000000000000000e+08,1.400000000000000e+05,1.000000000000000e+05,4.300000000000000e+07,3.000000000000000e+08,2.400000000000000e+07,1.000000000000000e+05,6.400000000000000e+10,1.000000000000000e+05,7.900000000000000e+07,1.000000000000000e+05,2.200000000000000e+11,1.000000000000000e+05,1.800000000000000e+06,2.500000000000000e+11,4.900000000000000e+06,4.900000000000000e+13,1.677720000000000e+12
