      Fwd_Rate      Rev_Rate      Net_Rate  PEI                                Reaction_String
     0.0000000     0.0000874    -0.0000874 0.50         (36)(100100)  <=>         (52)(110100)
     0.0000000     0.0000022    -0.0000022 0.50         (37)(100101)  <=>         (45)(101101)
     0.0000000     0.0000001    -0.0000001 0.50         (37)(100101)  <=>         (53)(110101)
   272.5948677   125.7038482   146.8910195 0.50         (38)(100110)  <=>         (39)(100111)
     0.3355184     0.6815349    -0.3460165 0.50         (38)(100110)  <=>         (46)(101110)
     0.0000001     1.0574268    -1.0574267 0.50         (38)(100110)  <=>         (54)(110110)
     0.0753477     0.0599551     0.0153925 0.50         (39)(100111)  <=>         (47)(101111)
     0.0000000     0.0194696    -0.0194696 0.50         (39)(100111)  <=>         (55)(110111)
     0.0012641     0.0000660     0.0011981 0.50         (40)(101000)  <=>         (41)(101001)
     0.0701148     0.0519991     0.0181157 0.50         (40)(101000)  <=>         (44)(101100)
     0.0000790     0.0000000     0.0000790 0.50         (40)(101000)  <=>         (56)(111000)
     0.0277076     0.0276591     0.0000486 0.50         (41)(101001)  <=>         (45)(101101)
     0.0000183     0.0000000     0.0000183 0.50         (41)(101001)  <=>         (57)(111001)
     2.0151290     1.6423777     0.3727513 0.50         (42)(101010)  <=>         (43)(101011)
     1.5775387     5.6447895    -4.0672509 0.50         (42)(101010)  <=>         (46)(101110)
     6.4359728     0.1673093     6.2686635 0.50         (42)(101010)  <=>         (50)(110010)
     0.0000524     0.0001603    -0.0001079 0.50         (42)(101010)  <=>         (58)(111010)
     0.0000635     0.6128563    -0.6127928 0.50         (43)(101011)  <=>         (47)(101111)
     1.3690347     0.0002465     1.3687882 0.50         (43)(101011)  <=>         (51)(110011)
     0.0000111     0.0000000     0.0000111 0.50         (43)(101011)  <=>         (59)(111011)
     0.0206268     0.0002751     0.0203517 0.50         (44)(101100)  <=>         (45)(101101)
     0.0000002     0.0019916    -0.0019914 0.50         (44)(101100)  <=>         (60)(111100)
     0.0000001     0.0000001     0.0000000 0.50         (45)(101101)  <=>         (61)(111101)
     2.9024780     0.5243056     2.3781724 0.50         (46)(101110)  <=>         (47)(101111)
    20.3031717     0.2875846    20.0155871 0.50         (46)(101110)  <=>         (54)(110110)
     0.0000000     0.0059103    -0.0059103 0.50         (46)(101110)  <=>         (62)(111110)
     1.7860847     0.0052951     1.7807896 0.50         (47)(101111)  <=>         (55)(110111)
     0.0000000     0.0000174    -0.0000174 0.50         (47)(101111)  <=>         (63)(111111)
     0.0000000     0.0000155    -0.0000155 0.50         (48)(110000)  <=>         (49)(110001)
     0.0001430     0.0001338     0.0000092 0.50         (48)(110000)  <=>         (52)(110100)
     0.0000314     0.0000305     0.0000010 0.50         (48)(110000)  <=>         (56)(111000)
     0.0000005     0.0000003     0.0000002 0.50         (49)(110001)  <=>         (53)(110101)
     0.0000000     0.0000000     0.0000000 0.50         (49)(110001)  <=>         (57)(111001)
     0.0002686     1.5686227    -1.5683540 0.50         (50)(110010)  <=>         (51)(110011)
     0.0786502    19.9351473   -19.8564971 0.50         (50)(110010)  <=>         (54)(110110)
     0.2240559     1.5614158    -1.3373599 0.50         (50)(110010)  <=>         (58)(111010)
     0.2025641     0.3516263    -0.1490622 0.50         (51)(110011)  <=>         (55)(110111)
     0.0003301     0.0004576    -0.0001274 0.50         (51)(110011)  <=>         (59)(111011)
     0.0000000     0.0000007    -0.0000006 0.50         (52)(110100)  <=>         (53)(110101)
     0.0000005     0.0000005     0.0000000 0.50         (52)(110100)  <=>         (60)(111100)
     0.0000000     0.0000000     0.0000000 0.50         (53)(110101)  <=>         (61)(111101)
     0.0000000     1.6119595    -1.6119595 0.50         (54)(110110)  <=>         (55)(110111)
     0.0195243     0.0208189    -0.0012946 0.50         (54)(110110)  <=>         (62)(111110)
     0.0003595     0.0000612     0.0002983 0.50         (55)(110111)  <=>         (63)(111111)
     0.0000000     0.0000054    -0.0000054 0.50         (56)(111000)  <=>         (57)(111001)
     0.0032404     0.0030488     0.0001915 0.50         (56)(111000)  <=>         (60)(111100)
     0.0000002     0.0000001     0.0000001 0.50         (57)(111001)  <=>         (61)(111101)
     0.0000098     0.0113965    -0.0113867 0.50         (58)(111010)  <=>         (59)(111011)
     0.0028730     0.1114248    -0.1085517 0.50         (58)(111010)  <=>         (62)(111110)
     0.0014717     0.0003138     0.0011578 0.50         (59)(111011)  <=>         (63)(111111)
     0.0000004     0.0000003     0.0000001 0.50         (60)(111100)  <=>         (61)(111101)
     0.0000000     0.0014387    -0.0014387 0.50         (62)(111110)  <=>         (63)(111111)
